object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Pore,Probability of na,Convexity,Defect Center_0,Defect Center_1,Defect Center_2,Number of Defects,Mean Defect Displacement,Kurtosis of Defect Area,Mean Defect Area,Skewness of Defect Area,Variance of Defect Area,Convex Hull Center_0,Convex Hull Center_1,Convex Hull Center_2,Convex Hull Area,Object Center_0,Object Center_1,Object Center_2,Object Area,Bounding Box Maximum_0,Bounding Box Maximum_1,Bounding Box Maximum_2,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Minimum_2,Size in pixels,Center of the object_0,Center of the object_1,Center of the object_2,Histogram of Intensity_0,Histogram of Intensity_1,Histogram of Intensity_2,Histogram of Intensity_3,Histogram of Intensity_4,Histogram of Intensity_5,Histogram of Intensity_6,Histogram of Intensity_7,Histogram of Intensity_8,Histogram of Intensity_9,Histogram of Intensity_10,Histogram of Intensity_11,Histogram of Intensity_12,Histogram of Intensity_13,Histogram of Intensity_14,Histogram of Intensity_15,Histogram of Intensity_16,Histogram of Intensity_17,Histogram of Intensity_18,Histogram of Intensity_19,Histogram of Intensity_20,Histogram of Intensity_21,Histogram of Intensity_22,Histogram of Intensity_23,Histogram of Intensity_24,Histogram of Intensity_25,Histogram of Intensity_26,Histogram of Intensity_27,Histogram of Intensity_28,Histogram of Intensity_29,Histogram of Intensity_30,Histogram of Intensity_31,Histogram of Intensity_32,Histogram of Intensity_33,Histogram of Intensity_34,Histogram of Intensity_35,Histogram of Intensity_36,Histogram of Intensity_37,Histogram of Intensity_38,Histogram of Intensity_39,Histogram of Intensity_40,Histogram of Intensity_41,Histogram of Intensity_42,Histogram of Intensity_43,Histogram of Intensity_44,Histogram of Intensity_45,Histogram of Intensity_46,Histogram of Intensity_47,Histogram of Intensity_48,Histogram of Intensity_49,Histogram of Intensity_50,Histogram of Intensity_51,Histogram of Intensity_52,Histogram of Intensity_53,Histogram of Intensity_54,Histogram of Intensity_55,Histogram of Intensity_56,Histogram of Intensity_57,Histogram of Intensity_58,Histogram of Intensity_59,Histogram of Intensity_60,Histogram of Intensity_61,Histogram of Intensity_62,Histogram of Intensity_63,Histogram of Intensity in neighborhood_0,Histogram of Intensity in neighborhood_1,Histogram of Intensity in neighborhood_2,Histogram of Intensity in neighborhood_3,Histogram of Intensity in neighborhood_4,Histogram of Intensity in neighborhood_5,Histogram of Intensity in neighborhood_6,Histogram of Intensity in neighborhood_7,Histogram of Intensity in neighborhood_8,Histogram of Intensity in neighborhood_9,Histogram of Intensity in neighborhood_10,Histogram of Intensity in neighborhood_11,Histogram of Intensity in neighborhood_12,Histogram of Intensity in neighborhood_13,Histogram of Intensity in neighborhood_14,Histogram of Intensity in neighborhood_15,Histogram of Intensity in neighborhood_16,Histogram of Intensity in neighborhood_17,Histogram of Intensity in neighborhood_18,Histogram of Intensity in neighborhood_19,Histogram of Intensity in neighborhood_20,Histogram of Intensity in neighborhood_21,Histogram of Intensity in neighborhood_22,Histogram of Intensity in neighborhood_23,Histogram of Intensity in neighborhood_24,Histogram of Intensity in neighborhood_25,Histogram of Intensity in neighborhood_26,Histogram of Intensity in neighborhood_27,Histogram of Intensity in neighborhood_28,Histogram of Intensity in neighborhood_29,Histogram of Intensity in neighborhood_30,Histogram of Intensity in neighborhood_31,Histogram of Intensity in neighborhood_32,Histogram of Intensity in neighborhood_33,Histogram of Intensity in neighborhood_34,Histogram of Intensity in neighborhood_35,Histogram of Intensity in neighborhood_36,Histogram of Intensity in neighborhood_37,Histogram of Intensity in neighborhood_38,Histogram of Intensity in neighborhood_39,Histogram of Intensity in neighborhood_40,Histogram of Intensity in neighborhood_41,Histogram of Intensity in neighborhood_42,Histogram of Intensity in neighborhood_43,Histogram of Intensity in neighborhood_44,Histogram of Intensity in neighborhood_45,Histogram of Intensity in neighborhood_46,Histogram of Intensity in neighborhood_47,Histogram of Intensity in neighborhood_48,Histogram of Intensity in neighborhood_49,Histogram of Intensity in neighborhood_50,Histogram of Intensity in neighborhood_51,Histogram of Intensity in neighborhood_52,Histogram of Intensity in neighborhood_53,Histogram of Intensity in neighborhood_54,Histogram of Intensity in neighborhood_55,Histogram of Intensity in neighborhood_56,Histogram of Intensity in neighborhood_57,Histogram of Intensity in neighborhood_58,Histogram of Intensity in neighborhood_59,Histogram of Intensity in neighborhood_60,Histogram of Intensity in neighborhood_61,Histogram of Intensity in neighborhood_62,Histogram of Intensity in neighborhood_63,Kurtosis of Intensity,Kurtosis of Intensity in neighborhood,Maximum intensity,Maximum intensity in neighborhood,Mean Intensity,Mean Intensity in neighborhood,Minimum intensity,Minimum intensity in neighborhood,Quantiles of Intensity_0,Quantiles of Intensity_1,Quantiles of Intensity_2,Quantiles of Intensity_3,Quantiles of Intensity_4,Quantiles of Intensity_5,Quantiles of Intensity_6,Principal components of the object_0,Principal components of the object_1,Principal components of the object_2,Principal components of the object_3,Principal components of the object_4,Principal components of the object_5,Principal components of the object_6,Principal components of the object_7,Principal components of the object_8,Radii of the object_0,Radii of the object_1,Radii of the object_2,Skewness of Intensity,Skewness of Intensity in neighborhood,Total Intensity,Total Intensity in neighborhood,Variance of Intensity,Variance of Intensity in neighborhood
0,0,1,0,Pore,1.0,0.0,0.4494318,31.52838,100.71878,76.119194,1.0,1.4625646,0.0,3876.0,0.0,0.0,31.5,100.5,75.5,7040.0,31.465235,100.23199,74.74146,3164.0,43.0,109.0,86.0,21.0,93.0,66.0,3164.0,31.465235,100.23199,74.74146,613.0,294.0,382.0,323.0,347.0,268.0,243.0,192.0,156.0,111.0,77.0,54.0,29.0,28.0,17.0,9.0,7.0,5.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5773.0,2460.0,3058.0,3537.0,3852.0,4128.0,4383.0,3419.0,4693.0,4600.0,4514.0,4235.0,4001.0,3503.0,3170.0,2162.0,2473.0,2181.0,1881.0,1573.0,1323.0,1092.0,854.0,533.0,565.0,516.0,407.0,345.0,272.0,244.0,176.0,126.0,137.0,111.0,85.0,58.0,52.0,44.0,38.0,19.0,22.0,15.0,9.0,7.0,4.0,6.0,2.0,0.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1412762,0.9955235,97.0,248.0,17.26201,40.157475,0.0,0.0,0.0,2.0565355,6.3966837,15.567434,26.300154,36.921875,97.0,-0.92038244,0.38127792,-0.086736836,0.083883464,-0.024131797,-0.99618334,0.3819158,0.92414546,0.009772428,5.228416,3.784744,3.5188322,0.9725099,0.81642103,54617.0,3078994.0,202.9677,739.5161
1,0,2,0,Pore,1.0,0.0,0.44597068,3.846281,114.77851,71.77851,1.0,2.0585454,0.0,605.0,0.0,0.0,3.0,114.5,72.0,1092.0,1.9486653,114.15401,72.275154,487.0,7.0,121.0,79.0,0.0,109.0,66.0,487.0,1.9486653,114.15401,72.275154,87.0,36.0,31.0,56.0,53.0,56.0,37.0,31.0,26.0,28.0,12.0,9.0,5.0,9.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1355.0,476.0,614.0,751.0,830.0,1017.0,1075.0,1200.0,1678.0,1345.0,1265.0,1192.0,1211.0,1095.0,966.0,943.0,1060.0,652.0,643.0,529.0,490.0,453.0,387.0,346.0,380.0,267.0,237.0,220.0,154.0,159.0,104.0,106.0,96.0,59.0,59.0,40.0,40.0,36.0,19.0,27.0,26.0,19.0,18.0,14.0,7.0,9.0,4.0,10.0,6.0,2.0,5.0,3.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.7748147,1.2881601,80.0,200.0,19.66119,38.65103,0.0,0.0,0.0,2.230334,7.830404,18.455925,29.079512,39.45954,80.0,0.08361354,0.10756489,-0.9906758,-0.5227319,-0.84165907,-0.13550389,0.84838676,-0.52918786,0.014146496,3.3369894,2.2059507,1.5269377,0.8461669,0.91262496,9575.0,916300.0,237.62444,628.962
2,0,3,Pore,Pore,1.0,0.0,0.073320635,144.3755,244.44252,99.45597,1.0,28.992292,0.0,836532.0,0.0,0.0,146.5,244.5,99.5,902720.0,173.35097,245.22646,100.05649,66188.0,251.0,280.0,131.0,43.0,210.0,69.0,66188.0,173.35097,245.22646,100.05649,351.0,1059.0,2427.0,4174.0,6067.0,7503.0,8226.0,7746.0,6871.0,5542.0,4419.0,3150.0,2504.0,1767.0,1271.0,916.0,645.0,509.0,331.0,211.0,163.0,115.0,64.0,56.0,33.0,17.0,17.0,9.0,9.0,6.0,2.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4759.0,4996.0,8395.0,11856.0,15339.0,18531.0,21459.0,24099.0,27046.0,29097.0,29898.0,29707.0,28433.0,26427.0,24672.0,22999.0,20844.0,18849.0,16939.0,15383.0,13463.0,12193.0,10608.0,9383.0,8260.0,7288.0,6478.0,5643.0,4985.0,4385.0,3848.0,3437.0,2942.0,2644.0,2358.0,2028.0,1687.0,1508.0,1413.0,1191.0,1052.0,966.0,817.0,724.0,638.0,535.0,495.0,482.0,380.0,333.0,280.0,275.0,214.0,191.0,181.0,168.0,119.0,132.0,108.0,123.0,112.0,85.0,89.0,909.0,1.7402278,3.3699865,140.0,255.0,31.231506,59.00545,0.0,0.0,0.0,14.608548,21.233007,29.581387,39.610092,51.049328,140.0,0.9696513,0.07237891,0.23353298,0.12755854,-0.9646358,-0.23066558,0.20857894,0.2534543,-0.9445929,64.5558,14.100095,6.0280294,0.9603603,1.4147599,2067151.0,30380608.0,221.13643,1296.279
3,0,4,0,Pore,1.0,0.0,0.34100878,257.99802,212.36539,78.4426,1.0,0.42917284,0.0,3005.0,0.0,0.0,258.0,212.5,78.5,4560.0,258.00385,212.76013,78.61093,1555.0,268.0,225.0,84.0,249.0,201.0,74.0,1555.0,258.00385,212.76013,78.61093,0.0,0.0,1.0,2.0,25.0,97.0,224.0,370.0,361.0,267.0,130.0,52.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,34.0,39.0,143.0,107.0,283.0,447.0,256.0,723.0,421.0,1038.0,1272.0,770.0,1838.0,1023.0,2360.0,2766.0,1497.0,3115.0,1581.0,3158.0,3122.0,1469.0,2637.0,1225.0,2139.0,1695.0,717.0,1222.0,495.0,863.0,352.0,524.0,405.0,158.0,271.0,100.0,167.0,139.0,50.0,80.0,36.0,53.0,39.0,22.0,28.0,11.0,21.0,17.0,5.0,11.0,2.0,7.0,4.0,1.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.18667458,0.83395463,55.0,102.0,32.354984,32.30974,10.0,0.0,10.0,24.448765,28.318676,32.520668,37.14646,41.452824,55.0,-0.6294848,0.7608043,-0.15787873,0.7685189,0.63957727,0.0178755,0.1145754,-0.110080436,-0.9872967,6.2719507,2.8386858,1.8907645,0.2348627,0.37641948,50312.0,1324053.0,42.632828,122.88086
4,0,5,0,Pore,1.0,0.0,0.30741936,102.50861,283.5581,89.062996,1.0,2.438139,0.0,8588.0,0.0,0.0,103.0,283.5,88.5,12400.0,104.10703,283.3691,87.231636,3812.0,119.0,294.0,99.0,88.0,274.0,79.0,3812.0,104.10703,283.3691,87.231636,65.0,70.0,121.0,201.0,340.0,418.0,477.0,471.0,454.0,350.0,290.0,202.0,130.0,78.0,73.0,34.0,19.0,12.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7578.0,797.0,1165.0,1700.0,2536.0,3253.0,3907.0,4557.0,4936.0,5389.0,5166.0,5074.0,4614.0,4118.0,3953.0,3242.0,2797.0,2414.0,2116.0,1856.0,1598.0,1462.0,1314.0,1140.0,998.0,875.0,859.0,705.0,656.0,612.0,508.0,453.0,356.0,322.0,271.0,263.0,184.0,182.0,143.0,120.0,91.0,87.0,84.0,64.0,55.0,56.0,37.0,37.0,24.0,27.0,17.0,12.0,18.0,9.0,11.0,4.0,7.0,7.0,0.0,0.0,1.0,2.0,0.0,2.0,0.14452015,1.6255207,81.0,255.0,29.96957,49.50406,0.0,0.0,0.0,14.434935,21.408867,29.700935,38.614285,47.256264,81.0,0.89008194,-0.02975507,-0.45482832,0.25653133,0.8575224,0.44592264,0.37675703,-0.5135854,0.7708983,8.16795,3.9894547,2.777917,0.30809063,1.0033973,114244.0,4199974.0,168.48386,1131.7767
5,0,6,0,Pore,1.0,0.0,0.33117652,202.50496,88.36574,89.969795,1.0,3.947028,0.0,8476.0,0.0,0.0,203.0,89.0,91.0,12673.0,203.99976,90.280914,93.080536,4197.0,215.0,104.0,101.0,192.0,75.0,82.0,4197.0,203.99976,90.280914,93.080536,38.0,87.0,179.0,313.0,547.0,578.0,585.0,546.0,432.0,328.0,196.0,151.0,73.0,46.0,33.0,27.0,13.0,10.0,5.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14834.0,190.0,394.0,715.0,1344.0,2136.0,3148.0,4129.0,4765.0,5155.0,5284.0,5053.0,4695.0,4302.0,3846.0,3317.0,2927.0,2595.0,2232.0,1877.0,1521.0,1275.0,1032.0,794.0,709.0,575.0,483.0,387.0,296.0,255.0,209.0,188.0,122.0,106.0,97.0,73.0,68.0,51.0,43.0,32.0,34.0,32.0,22.0,17.0,13.0,6.0,19.0,11.0,8.0,10.0,9.0,6.0,5.0,8.0,3.0,1.0,4.0,2.0,1.0,3.0,3.0,0.0,0.0,7.0,1.3061063,1.3194222,86.0,255.0,27.063854,43.139202,0.0,0.0,0.0,13.425943,19.086031,26.334335,34.409042,42.777145,86.0,0.4465926,-0.83693236,0.31638476,0.87476575,0.33412108,-0.3509245,0.18798922,0.43348283,0.88133574,6.564849,4.555498,3.2977839,0.7489512,0.6329962,113587.0,3514896.0,142.89705,923.7708
6,0,7,Pore,Pore,1.0,0.0,0.13266823,128.3435,221.73865,204.97139,1.0,18.107832,0.0,5568381.0,0.0,0.0,126.0,221.5,204.5,6420128.0,110.67906,219.93983,201.41821,851747.0,253.0,274.0,327.0,0.0,170.0,83.0,851747.0,110.67906,219.93983,201.41821,12859.0,17008.0,40109.0,72946.0,103193.0,118123.0,120872.0,108488.0,86657.0,62755.0,42339.0,27073.0,16062.0,9314.0,5371.0,3211.0,1877.0,1201.0,761.0,494.0,291.0,197.0,147.0,117.0,94.0,50.0,37.0,27.0,34.0,10.0,7.0,6.0,5.0,7.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225532.0,7414.0,13973.0,26361.0,46147.0,71667.0,99919.0,126573.0,149767.0,168768.0,179460.0,180946.0,173888.0,163527.0,151433.0,138660.0,126743.0,116295.0,105147.0,96210.0,87186.0,79141.0,71608.0,64940.0,58887.0,53690.0,48288.0,43419.0,39493.0,34935.0,31650.0,28984.0,25897.0,23252.0,21156.0,18815.0,16908.0,15321.0,13844.0,12476.0,11330.0,10374.0,9307.0,8522.0,7623.0,6938.0,6359.0,5744.0,5110.0,4802.0,4268.0,3986.0,3529.0,3368.0,2981.0,2772.0,2446.0,2228.0,2069.0,1905.0,1685.0,1512.0,1360.0,15773.0,1.704017,2.6634178,156.0,255.0,26.458454,64.43916,0.0,0.0,0.0,12.783292,18.640833,25.937977,33.9538,42.061115,156.0,0.9845223,-0.08535142,0.15307209,-0.14563675,0.08745685,0.985465,0.097498044,0.99250513,-0.07367291,69.79179,46.810936,12.208753,0.68725425,1.3135918,22535908.0,211638260.0,140.25447,1905.0203
7,0,8,Pore,Pore,1.0,0.0,0.27025825,23.366081,128.4651,111.72828,1.0,6.9788213,0.0,47585.0,0.0,0.0,21.5,128.5,112.0,65208.0,16.461271,128.59422,112.7337,17623.0,44.0,148.0,132.0,0.0,110.0,93.0,17623.0,16.461271,128.59422,112.7337,850.0,531.0,808.0,1117.0,1397.0,1628.0,1732.0,1711.0,1602.0,1417.0,1225.0,1028.0,786.0,548.0,406.0,274.0,188.0,128.0,75.0,61.0,41.0,25.0,17.0,8.0,6.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981.0,1190.0,1898.0,2711.0,3846.0,5230.0,6574.0,8003.0,8952.0,9473.0,9843.0,9834.0,9204.0,8509.0,7501.0,6724.0,5791.0,4908.0,4055.0,3460.0,2830.0,2396.0,1976.0,1693.0,1434.0,1195.0,1058.0,900.0,786.0,714.0,625.0,498.0,433.0,403.0,349.0,341.0,273.0,262.0,222.0,197.0,171.0,158.0,162.0,120.0,96.0,95.0,95.0,82.0,54.0,56.0,54.0,45.0,45.0,39.0,21.0,27.0,29.0,31.0,22.0,21.0,15.0,10.0,10.0,78.0,0.5151314,4.936258,127.0,255.0,30.327923,52.892918,0.0,0.0,0.0,9.849,19.074091,29.633644,41.223644,52.005547,127.0,-0.9576603,-0.23595168,-0.16496505,0.2751945,-0.58187634,-0.76530254,0.08458516,-0.77829736,0.6221725,10.198605,9.003685,5.5096517,0.49707308,1.6251317,534469.0,7394853.0,275.3386,943.5329
